期号,开奖日期,红球,奇数个数,奇偶比,AC值,一区(01-11),二区(12-22),三区(23-33),R1奇偶,R2_AC,R3三区,综合合规
2026081,2026-07-16,06 10 12 15 24 27,2,2:4,7,2,2,2,✓,✓,✓,合规
2026080,2026-07-14,04 05 11 19 27 32,4,4:2,9,3,1,2,✓,✓,✓,合规
2026079,2026-07-12,01 11 17 22 24 29,4,4:2,8,2,2,2,✓,✓,✓,合规
2026078,2026-07-09,07 11 14 16 27 28,3,3:3,10,2,2,2,✓,✗,✓,剔除
2026077,2026-07-07,01 04 05 14 18 25,3,3:3,8,3,2,1,✓,✓,✓,合规
2026076,2026-07-05,01 03 19 20 24 25,4,4:2,8,2,2,2,✓,✓,✓,合规
2026075,2026-07-02,08 12 18 21 24 30,1,1:5,5,1,3,2,✗,✗,✓,剔除
2026074,2026-06-30,02 23 24 26 28 32,1,1:5,8,1,0,5,✗,✓,✗,剔除
2026073,2026-06-28,09 10 13 16 19 21,4,4:2,7,2,4,0,✓,✓,✗,剔除
2026072,2026-06-25,07 08 12 15 17 21,4,4:2,7,2,4,0,✓,✓,✗,剔除
2026071,2026-06-23,03 08 19 25 31 33,5,5:1,9,2,1,3,✗,✓,✓,剔除
2026070,2026-06-21,03 06 08 14 26 27,2,2:4,10,3,1,2,✓,✗,✓,剔除
2026069,2026-06-18,12 14 16 17 18 32,1,1:5,6,0,5,1,✗,✓,✗,剔除
2026068,2026-06-16,03 05 16 18 29 32,3,3:3,6,2,2,2,✓,✓,✓,合规
2026067,2026-06-14,04 19 27 29 30 32,3,3:3,8,1,1,4,✓,✓,✓,合规
2026066,2026-06-11,05 11 21 23 24 29,5,5:1,8,2,1,3,✗,✓,✓,剔除
2026065,2026-06-09,07 08 16 24 30 32,1,1:5,7,2,1,3,✗,✓,✓,剔除
2026064,2026-06-07,01 09 15 18 29 33,5,5:1,9,2,2,2,✗,✓,✓,剔除
2026063,2026-06-04,02 08 25 28 30 31,2,2:4,7,2,0,4,✓,✓,✗,剔除
2026062,2026-06-02,02 04 07 14 28 29,2,2:4,10,3,1,2,✓,✗,✓,剔除
